발행일,Category,Keywords,Title,Link
2025-08-19,42. Manufacturing,MES,Ensuring American Pharmaceutical Supply Chain Resilience by Filling the Strategic Active Pharmaceutical Ingredients Reserve,https://www.federalregister.gov/documents/2025/08/19/2025-15823/ensuring-american-pharmaceutical-supply-chain-resilience-by-filling-the-strategic-active
2025-08-14,42. Manufacturing,MES,Declaring a Crime Emergency in the District of Columbia,https://www.federalregister.gov/documents/2025/08/14/2025-15550/declaring-a-crime-emergency-in-the-district-of-columbia
2025-08-12,16. Mobile Device,SoC,Democratizing Access to Alternative Assets for 401(k) Investors,https://www.federalregister.gov/documents/2025/08/12/2025-15340/democratizing-access-to-alternative-assets-for-401k-investors
2025-08-12,16. Mobile Device,SoC,Guaranteeing Fair Banking for All Americans,https://www.federalregister.gov/documents/2025/08/12/2025-15341/guaranteeing-fair-banking-for-all-americans
2025-08-12,16. Mobile Device,SoC,Improving Oversight of Federal Grantmaking,https://www.federalregister.gov/documents/2025/08/12/2025-15344/improving-oversight-of-federal-grantmaking
2025-08-11,42. Manufacturing,MES,Addressing Threats to the United States by the Government of the Russian Federation,https://www.federalregister.gov/documents/2025/08/11/2025-15267/addressing-threats-to-the-united-states-by-the-government-of-the-russian-federation
2025-08-08,42. Manufacturing,MES,Establishing the White House Task Force on the 2028 Summer Olympics,https://www.federalregister.gov/documents/2025/08/08/2025-15193/establishing-the-white-house-task-force-on-the-2028-summer-olympics
2025-08-06,42. Manufacturing,MES,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border,https://www.federalregister.gov/documents/2025/08/06/2025-14999/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border
2025-08-06,42. Manufacturing,MES,Further Modifying the Reciprocal Tariff Rates,https://www.federalregister.gov/documents/2025/08/06/2025-15010/further-modifying-the-reciprocal-tariff-rates
2025-08-06,"16. Mobile Device, 42. Manufacturing","SoC, MES","President's Council on Sports, Fitness, and Nutrition, and the Reestablishment of the Presidential Fitness Test",https://www.federalregister.gov/documents/2025/08/06/2025-15011/presidents-council-on-sports-fitness-and-nutrition-and-the-reestablishment-of-the-presidential
2025-08-05,"16. Mobile Device, 30. Content Platform, 42. Manufacturing","Algorithm, SoC, MES",Addressing Threats to the United States by the Government of Brazil,https://www.federalregister.gov/documents/2025/08/05/2025-14896/addressing-threats-to-the-united-states-by-the-government-of-brazil
2025-07-29,42. Manufacturing,MES,Ending Crime and Disorder on America's Streets,https://www.federalregister.gov/documents/2025/07/29/2025-14391/ending-crime-and-disorder-on-americas-streets
2025-07-29,"16. Mobile Device, 21. Regulation, 42. Manufacturing","SoC, Antitrust, MES",Saving College Sports,https://www.federalregister.gov/documents/2025/07/29/2025-14392/saving-college-sports
2025-07-28,"4. AI, 16. Mobile Device, 29. E-Learning, 37. Energy/Utility, 42. Manufacturing","MES, LMS, Artificial Intelligence, Nuclear, SoC, LLM",Preventing Woke AI in the Federal Government,https://www.federalregister.gov/documents/2025/07/28/2025-14217/preventing-woke-ai-in-the-federal-government
2025-07-28,"4. AI, 16. Mobile Device, 42. Manufacturing","SoC, MES, Artificial Intelligence",Promoting the Export of the American AI Technology Stack,https://www.federalregister.gov/documents/2025/07/28/2025-14218/promoting-the-export-of-the-american-ai-technology-stack
2025-07-28,"4. AI, 15. Hardware, 37. Energy/Utility","Nuclear, Semiconductor, Artificial Intelligence",Accelerating Federal Permitting of Data Center Infrastructure,https://www.federalregister.gov/documents/2025/07/28/2025-14212/accelerating-federal-permitting-of-data-center-infrastructure
2025-07-23,16. Mobile Device,SoC,Creating Schedule G in the Excepted Service,https://www.federalregister.gov/documents/2025/07/23/2025-13925/creating-schedule-g-in-the-excepted-service
2025-07-10,42. Manufacturing,MES,"Ending Market Distorting Subsidies for Unreliable, Foreign-Controlled Energy Sources",https://www.federalregister.gov/documents/2025/07/10/2025-12961/ending-market-distorting-subsidies-for-unreliable-foreign-controlled-energy-sources
2025-07-09,"6. Blockchain, 42. Manufacturing","RWA, MES",Establishing the President's Make America Beautiful Again Commission,https://www.federalregister.gov/documents/2025/07/09/2025-12774/establishing-the-presidents-make-america-beautiful-again-commission
2025-07-03,"16. Mobile Device, 42. Manufacturing","SoC, MES",Providing for the Revocation of Syria Sanctions,https://www.federalregister.gov/documents/2025/07/03/2025-12506/providing-for-the-revocation-of-syria-sanctions
2025-06-23,42. Manufacturing,MES,Implementing the General Terms of the United States of America-United Kingdom Economic Prosperity Deal,https://www.federalregister.gov/documents/2025/06/23/2025-11473/implementing-the-general-terms-of-the-united-states-of-america-united-kingdom-economic-prosperity
2025-06-18,"4. AI, 42. Manufacturing","MES, Artificial Intelligence",Empowering Commonsense Wildfire Prevention and Response,https://www.federalregister.gov/documents/2025/06/18/2025-11358/empowering-commonsense-wildfire-prevention-and-response
2025-06-11,"16. Mobile Device, 39. Construction/Defense","SoC, Drone",Restoring American Airspace Sovereignty,https://www.federalregister.gov/documents/2025/06/11/2025-10803/restoring-american-airspace-sovereignty
2025-06-11,42. Manufacturing,MES,Leading the World in Supersonic Flight,https://www.federalregister.gov/documents/2025/06/11/2025-10800/leading-the-world-in-supersonic-flight
2025-06-11,"4. AI, 30. Content Platform","Algorithm, Artificial Intelligence",Sustaining Select Efforts To Strengthen the Nation's Cybersecurity and Amending Executive Order 13694 and Executive Order 14144,https://www.federalregister.gov/documents/2025/06/11/2025-10804/sustaining-select-efforts-to-strengthen-the-nations-cybersecurity-and-amending-executive-order-13694
2025-06-11,"4. AI, 17. Mobile Wireless, 34. Automotive/Aviation, 39. Construction/Defense, 42. Manufacturing","Drone, MES, Artificial Intelligence, eVTOL, Spectrum",Unleashing American Drone Dominance,https://www.federalregister.gov/documents/2025/06/11/2025-10814/unleashing-american-drone-dominance
2025-05-29,"4. AI, 37. Energy/Utility, 38. Metals, 42. Manufacturing","Nuclear, Recycling, MES, Artificial Intelligence",Deploying Advanced Nuclear Reactor Technologies for National Security,https://www.federalregister.gov/documents/2025/05/29/2025-09796/deploying-advanced-nuclear-reactor-technologies-for-national-security
2025-05-29,"37. Energy/Utility, 42. Manufacturing","Nuclear, MES",Reforming Nuclear Reactor Testing at the Department of Energy,https://www.federalregister.gov/documents/2025/05/29/2025-09799/reforming-nuclear-reactor-testing-at-the-department-of-energy
2025-05-29,"6. Blockchain, 16. Mobile Device, 42. Manufacturing","RWA, SoC, MES",Restoring Gold Standard Science,https://www.federalregister.gov/documents/2025/05/29/2025-09802/restoring-gold-standard-science
2025-05-29,"4. AI, 6. Blockchain, 16. Mobile Device, 37. Energy/Utility, 42. Manufacturing","RWA, MES, Artificial Intelligence, Nuclear, SoC",Ordering the Reform of the Nuclear Regulatory Commission,https://www.federalregister.gov/documents/2025/05/29/2025-09798/ordering-the-reform-of-the-nuclear-regulatory-commission
2025-05-29,"6. Blockchain, 16. Mobile Device, 37. Energy/Utility, 38. Metals, 42. Manufacturing","RWA, MES, Recycling, Nuclear, SoC",Reinvigorating the Nuclear Industrial Base,https://www.federalregister.gov/documents/2025/05/29/2025-09801/reinvigorating-the-nuclear-industrial-base
2025-05-15,"21. Regulation, 42. Manufacturing","Antitrust, MES",Delivering Most-Favored-Nation Prescription Drug Pricing to American Patients,https://www.federalregister.gov/documents/2025/05/15/2025-08876/delivering-most-favored-nation-prescription-drug-pricing-to-american-patients
2025-05-14,42. Manufacturing,MES,Fighting Overcriminalization in Federal Regulations,https://www.federalregister.gov/documents/2025/05/14/2025-08681/fighting-overcriminalization-in-federal-regulations
2025-05-14,42. Manufacturing,MES,Increasing Efficiency at the Office of the Federal Register,https://www.federalregister.gov/documents/2025/05/14/2025-08682/increasing-efficiency-at-the-office-of-the-federal-register
2025-05-14,42. Manufacturing,MES,Keeping Promises to Veterans and Establishing a National Center for Warrior Independence,https://www.federalregister.gov/documents/2025/05/14/2025-08683/keeping-promises-to-veterans-and-establishing-a-national-center-for-warrior-independence
2025-05-08,"16. Mobile Device, 42. Manufacturing","SoC, MES",Improving the Safety and Security of Biological Research,https://www.federalregister.gov/documents/2025/05/08/2025-08266/improving-the-safety-and-security-of-biological-research
2025-05-08,"16. Mobile Device, 42. Manufacturing","SoC, MES",Regulatory Relief To Promote Domestic Production of Critical Medicines,https://www.federalregister.gov/documents/2025/05/08/2025-08267/regulatory-relief-to-promote-domestic-production-of-critical-medicines
2025-05-07,18. Broadband/IPTV,Broadcasting,Ending Taxpayer Subsidization of Biased Media,https://www.federalregister.gov/documents/2025/05/07/2025-08133/ending-taxpayer-subsidization-of-biased-media
2025-05-07,"16. Mobile Device, 42. Manufacturing","SoC, MES",Establishment of the Religious Liberty Commission,https://www.federalregister.gov/documents/2025/05/07/2025-08134/establishment-of-the-religious-liberty-commission
2025-05-02,42. Manufacturing,MES,Enforcing Commonsense Rules of the Road for America's Truck Drivers,https://www.federalregister.gov/documents/2025/05/02/2025-07786/enforcing-commonsense-rules-of-the-road-for-americas-truck-drivers
2025-05-02,"16. Mobile Device, 42. Manufacturing","SoC, MES",Strengthening and Unleashing America's Law Enforcement To Pursue Criminals and Protect Innocent Citizens,https://www.federalregister.gov/documents/2025/05/02/2025-07790/strengthening-and-unleashing-americas-law-enforcement-to-pursue-criminals-and-protect-innocent
2025-05-02,42. Manufacturing,MES,Protecting American Communities From Criminal Aliens,https://www.federalregister.gov/documents/2025/05/02/2025-07789/protecting-american-communities-from-criminal-aliens
2025-04-29,"16. Mobile Device, 38. Metals, 42. Manufacturing","SoC, Rare earth, MES",Unleashing America's Offshore Critical Minerals and Resources,https://www.federalregister.gov/documents/2025/04/29/2025-07470/unleashing-americas-offshore-critical-minerals-and-resources
2025-04-28,"4. AI, 16. Mobile Device, 42. Manufacturing","SoC, LLM, MES, Artificial Intelligence",Advancing Artificial Intelligence Education for American Youth,https://www.federalregister.gov/documents/2025/04/28/2025-07368/advancing-artificial-intelligence-education-for-american-youth
2025-04-28,"4. AI, 42. Manufacturing","MES, Artificial Intelligence",Preparing Americans for High-Paying Skilled Trade Jobs of the Future,https://www.federalregister.gov/documents/2025/04/28/2025-07369/preparing-americans-for-high-paying-skilled-trade-jobs-of-the-future
2025-04-28,"16. Mobile Device, 42. Manufacturing","SoC, MES",Restoring Equality of Opportunity and Meritocracy,https://www.federalregister.gov/documents/2025/04/28/2025-07378/restoring-equality-of-opportunity-and-meritocracy
2025-04-28,16. Mobile Device,SoC,White House Initiative To Promote Excellence and Innovation at Historically Black Colleges and Universities,https://www.federalregister.gov/documents/2025/04/28/2025-07380/white-house-initiative-to-promote-excellence-and-innovation-at-historically-black-colleges-and
2025-04-28,"16. Mobile Device, 42. Manufacturing","SoC, MES",Reforming Accreditation To Strengthen Higher Education,https://www.federalregister.gov/documents/2025/04/28/2025-07376/reforming-accreditation-to-strengthen-higher-education
2025-04-28,42. Manufacturing,MES,Reinstating Commonsense School Discipline Policies,https://www.federalregister.gov/documents/2025/04/28/2025-07377/reinstating-commonsense-school-discipline-policies
2025-04-22,42. Manufacturing,MES,Restoring American Seafood Competitiveness,https://www.federalregister.gov/documents/2025/04/22/2025-07062/restoring-american-seafood-competitiveness
2025-04-18,"15. Hardware, 16. Mobile Device, 34. Automotive/Aviation, 38. Metals, 42. Manufacturing","Semiconductor, MES, Electric Vehicle, Recycling, SoC, Rare earth",Ensuring National Security and Economic Resilience Through Section 232 Actions on Processed Critical Minerals and Derivative Products,https://www.federalregister.gov/documents/2025/04/18/2025-06836/ensuring-national-security-and-economic-resilience-through-section-232-actions-on-processed-critical
2025-04-18,"16. Mobile Device, 42. Manufacturing","SoC, MES",Lowering Drug Prices by Once Again Putting Americans First,https://www.federalregister.gov/documents/2025/04/18/2025-06837/lowering-drug-prices-by-once-again-putting-americans-first
2025-04-15,42. Manufacturing,MES,Reforming Foreign Defense Sales To Improve Speed and Accountability,https://www.federalregister.gov/documents/2025/04/15/2025-06464/reforming-foreign-defense-sales-to-improve-speed-and-accountability
2025-04-15,16. Mobile Device,SoC,Addressing Risks From Susman Godfrey,https://www.federalregister.gov/documents/2025/04/15/2025-06458/addressing-risks-from-susman-godfrey
2025-04-15,42. Manufacturing,MES,Modifying Reciprocal Tariff Rates To Reflect Trading Partner Retaliation and Alignment,https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment
2025-04-15,"6. Blockchain, 11. 3D Printing, 16. Mobile Device, 37. Energy/Utility, 42. Manufacturing","RWA, MES, Additive manufacturing, Nuclear, SoC",Restoring America's Maritime Dominance,https://www.federalregister.gov/documents/2025/04/15/2025-06465/restoring-americas-maritime-dominance
2025-04-15,"37. Energy/Utility, 42. Manufacturing","Nuclear, SMR, MES",Zero-Based Regulatory Budgeting To Unleash American Energy,https://www.federalregister.gov/documents/2025/04/15/2025-06466/zero-based-regulatory-budgeting-to-unleash-american-energy
2025-04-14,"16. Mobile Device, 37. Energy/Utility, 42. Manufacturing","Nuclear, SoC, MES",Protecting American Energy From State Overreach,https://www.federalregister.gov/documents/2025/04/14/2025-06379/protecting-american-energy-from-state-overreach
2025-04-14,"4. AI, 42. Manufacturing","MES, Artificial Intelligence",Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,https://www.federalregister.gov/documents/2025/04/14/2025-06380/reinvigorating-americas-beautiful-clean-coal-industry-and-amending-executive-order-14241
2025-04-14,"4. AI, 42. Manufacturing","MES, Artificial Intelligence",Strengthening the Reliability and Security of the United States Electric Grid,https://www.federalregister.gov/documents/2025/04/14/2025-06381/strengthening-the-reliability-and-security-of-the-united-states-electric-grid
2025-04-07,"15. Hardware, 16. Mobile Device, 42. Manufacturing","SoC, Semiconductor, MES",Regulating Imports With a Reciprocal Tariff To Rectify Trade Practices That Contribute to Large and Persistent Annual United States Goods Trade Deficits,https://www.federalregister.gov/documents/2025/04/07/2025-06063/regulating-imports-with-a-reciprocal-tariff-to-rectify-trade-practices-that-contribute-to-large-and
2025-04-03,42. Manufacturing,MES,Establishing the United States Investment Accelerator,https://www.federalregister.gov/documents/2025/04/03/2025-05908/establishing-the-united-states-investment-accelerator
2025-04-03,"16. Mobile Device, 42. Manufacturing","SoC, MES",Addressing Risks From WilmerHale,https://www.federalregister.gov/documents/2025/04/03/2025-05845/addressing-risks-from-wilmerhale
2025-04-03,"16. Mobile Device, 37. Energy/Utility","Nuclear, SoC",Exclusions From Federal Labor-Management Relations Programs,https://www.federalregister.gov/documents/2025/04/03/2025-05836/exclusions-from-federal-labor-management-relations-programs
2025-04-03,"16. Mobile Device, 37. Energy/Utility, 42. Manufacturing","Nuclear, SoC, MES",Restoring Truth and Sanity to American History,https://www.federalregister.gov/documents/2025/04/03/2025-05838/restoring-truth-and-sanity-to-american-history
2025-04-03,42. Manufacturing,MES,Combating Unfair Practices in the Live Entertainment Market,https://www.federalregister.gov/documents/2025/04/03/2025-05906/combating-unfair-practices-in-the-live-entertainment-market
2025-03-28,"16. Mobile Device, 42. Manufacturing","SoC, MES",Addressing Risks From Jenner & Block,https://www.federalregister.gov/documents/2025/03/28/2025-05519/addressing-risks-from-jenner-and-block
2025-03-28,42. Manufacturing,MES,Modernizing Payments To and From America's Bank Account,https://www.federalregister.gov/documents/2025/03/28/2025-05522/modernizing-payments-to-and-from-americas-bank-account
2025-03-28,"16. Mobile Device, 42. Manufacturing","SoC, MES",Preserving and Protecting the Integrity of American Elections,https://www.federalregister.gov/documents/2025/03/28/2025-05523/preserving-and-protecting-the-integrity-of-american-elections
2025-03-28,16. Mobile Device,SoC,"Protecting America's Bank Account Against Fraud, Waste, and Abuse",https://www.federalregister.gov/documents/2025/03/28/2025-05524/protecting-americas-bank-account-against-fraud-waste-and-abuse
2025-03-26,17. Mobile Wireless,Spectrum,Addressing Remedial Action by Paul Weiss,https://www.federalregister.gov/documents/2025/03/26/2025-05291/addressing-remedial-action-by-paul-weiss
2025-03-25,42. Manufacturing,MES,Eliminating Waste and Saving Taxpayer Dollars by Consolidating Procurement,https://www.federalregister.gov/documents/2025/03/25/2025-05197/eliminating-waste-and-saving-taxpayer-dollars-by-consolidating-procurement
2025-03-25,42. Manufacturing,MES,"Improving Education Outcomes by Empowering Parents, States, and Communities",https://www.federalregister.gov/documents/2025/03/25/2025-05213/improving-education-outcomes-by-empowering-parents-states-and-communities
2025-03-25,"15. Hardware, 34. Automotive/Aviation, 42. Manufacturing","Electric Vehicle, Semiconductor, MES",Immediate Measures To Increase American Mineral Production,https://www.federalregister.gov/documents/2025/03/25/2025-05212/immediate-measures-to-increase-american-mineral-production
2025-03-21,42. Manufacturing,MES,Achieving Efficiency Through State and Local Preparedness,https://www.federalregister.gov/documents/2025/03/21/2025-04973/achieving-efficiency-through-state-and-local-preparedness
2025-03-20,42. Manufacturing,MES,Additional Rescissions of Harmful Executive Orders and Actions,https://www.federalregister.gov/documents/2025/03/20/2025-04866/additional-rescissions-of-harmful-executive-orders-and-actions
2025-03-20,"16. Mobile Device, 42. Manufacturing","SoC, MES",Addressing Risks From Paul Weiss,https://www.federalregister.gov/documents/2025/03/20/2025-04867/addressing-risks-from-paul-weiss
2025-03-20,16. Mobile Device,SoC,Continuing the Reduction of the Federal Bureaucracy,https://www.federalregister.gov/documents/2025/03/20/2025-04868/continuing-the-reduction-of-the-federal-bureaucracy
2025-03-12,"16. Mobile Device, 42. Manufacturing","SoC, MES",Restoring Public Service Loan Forgiveness,https://www.federalregister.gov/documents/2025/03/12/2025-04103/restoring-public-service-loan-forgiveness
2025-03-11,16. Mobile Device,SoC,Addressing Risks From Perkins Coie LLP,https://www.federalregister.gov/documents/2025/03/11/2025-03989/addressing-risks-from-perkins-coie-llp
2025-03-11,42. Manufacturing,MES,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border,https://www.federalregister.gov/documents/2025/03/11/2025-03990/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border
2025-03-11,42. Manufacturing,MES,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Southern Border,https://www.federalregister.gov/documents/2025/03/11/2025-03991/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-southern-border
2025-03-11,6. Blockchain,RWA,Establishment of the Strategic Bitcoin Reserve and United States Digital Asset Stockpile,https://www.federalregister.gov/documents/2025/03/11/2025-03992/establishment-of-the-strategic-bitcoin-reserve-and-united-states-digital-asset-stockpile
2025-03-10,42. Manufacturing,MES,Honoring Jocelyn Nungaray,https://www.federalregister.gov/documents/2025/03/10/2025-03869/honoring-jocelyn-nungaray
2025-03-06,16. Mobile Device,SoC,Designating English as the Official Language of the United States,https://www.federalregister.gov/documents/2025/03/06/2025-03694/designating-english-as-the-official-language-of-the-united-states
2025-03-06,"16. Mobile Device, 42. Manufacturing","SoC, MES","Addressing the Threat to National Security From Imports of Timber, Lumber, and Their Derivative Products",https://www.federalregister.gov/documents/2025/03/06/2025-03693/addressing-the-threat-to-national-security-from-imports-of-timber-lumber-and-their-derivative
2025-03-06,"16. Mobile Device, 42. Manufacturing","SoC, MES",Immediate Expansion of American Timber Production,https://www.federalregister.gov/documents/2025/03/06/2025-03695/immediate-expansion-of-american-timber-production
2025-02-28,"16. Mobile Device, 38. Metals, 42. Manufacturing","SoC, Recycling, MES",Addressing the Threat to National Security From Imports of Copper,https://www.federalregister.gov/documents/2025/02/28/2025-03439/addressing-the-threat-to-national-security-from-imports-of-copper
2025-02-25,"16. Mobile Device, 42. Manufacturing","SoC, MES",Commencing the Reduction of the Federal Bureaucracy,https://www.federalregister.gov/documents/2025/02/25/2025-03133/commencing-the-reduction-of-the-federal-bureaucracy
2025-02-25,42. Manufacturing,MES,Ending Taxpayer Subsidization of Open Borders,https://www.federalregister.gov/documents/2025/02/25/2025-03137/ending-taxpayer-subsidization-of-open-borders
2025-02-25,16. Mobile Device,SoC,"Ensuring Lawful Governance and Implementing the President's ""Department of Government Efficiency"" Deregulatory Initiative",https://www.federalregister.gov/documents/2025/02/25/2025-03138/ensuring-lawful-governance-and-implementing-the-presidents-department-of-government-efficiency
2025-02-24,42. Manufacturing,MES,Expanding Access to In Vitro Fertilization,https://www.federalregister.gov/documents/2025/02/24/2025-03064/expanding-access-to-in-vitro-fertilization
2025-02-24,42. Manufacturing,MES,Ensuring Accountability for All Agencies,https://www.federalregister.gov/documents/2025/02/24/2025-03063/ensuring-accountability-for-all-agencies
2025-02-20,"4. AI, 37. Energy/Utility, 42. Manufacturing","Nuclear, MES, Artificial Intelligence",Establishing the National Energy Dominance Council,https://www.federalregister.gov/documents/2025/02/20/2025-02928/establishing-the-national-energy-dominance-council
2025-02-20,"16. Mobile Device, 42. Manufacturing","SoC, MES",Keeping Education Accessible and Ending COVID-19 Vaccine Mandates in Schools,https://www.federalregister.gov/documents/2025/02/20/2025-02931/keeping-education-accessible-and-ending-covid-19-vaccine-mandates-in-schools
2025-02-19,"17. Mobile Wireless, 42. Manufacturing","Spectrum, MES",Establishing the President's Make America Healthy Again Commission,https://www.federalregister.gov/documents/2025/02/19/2025-02871/establishing-the-presidents-make-america-healthy-again-commission
2025-02-14,42. Manufacturing,MES,Ending Procurement and Forced Use of Paper Straws,https://www.federalregister.gov/documents/2025/02/14/2025-02735/ending-procurement-and-forced-use-of-paper-straws
2025-02-12,"17. Mobile Wireless, 42. Manufacturing","Spectrum, MES",Eradicating Anti-Christian Bias,https://www.federalregister.gov/documents/2025/02/12/2025-02611/eradicating-anti-christian-bias
2025-02-12,37. Energy/Utility,Nuclear,Addressing Egregious Actions of the Republic of South Africa,https://www.federalregister.gov/documents/2025/02/12/2025-02630/addressing-egregious-actions-of-the-republic-of-south-africa
2025-02-12,"16. Mobile Device, 42. Manufacturing","SoC, MES",Imposing Sanctions on the International Criminal Court,https://www.federalregister.gov/documents/2025/02/12/2025-02612/imposing-sanctions-on-the-international-criminal-court
2025-02-12,42. Manufacturing,MES,Establishment of the White House Faith Office,https://www.federalregister.gov/documents/2025/02/12/2025-02635/establishment-of-the-white-house-faith-office
2025-02-12,42. Manufacturing,MES,Protecting Second Amendment Rights,https://www.federalregister.gov/documents/2025/02/12/2025-02636/protecting-second-amendment-rights
2025-02-11,"16. Mobile Device, 42. Manufacturing","SoC, MES",Keeping Men Out of Women's Sports,https://www.federalregister.gov/documents/2025/02/11/2025-02513/keeping-men-out-of-womens-sports
